sku,range,size,description,itemAud,shipAud,totalAud,lab,carrier,printAreaPx
GLOBAL-CAN-30x30,GLOBAL-CAN,30x30,"Stretched Canvas on a 38mm Standard Stretcher Bar, 30x30"" / 76x76cm",110.00,21.55,131.55,au6,Australia Post,9054x9054
GLOBAL-CAN-28x40,GLOBAL-CAN,28x40,"Stretched Canvas on a 38mm Standard Stretcher Bar, 28x40"" / 71x102cm",120.00,108.00,228.00,au6,Australia Post,8454x12054
GLOBAL-CAN-30x40,GLOBAL-CAN,30x40,"Stretched Canvas on a 38mm Standard Stretcher Bar, 30x40"" / 76x102cm",120.00,108.00,228.00,au6,Australia Post,9054x12054
GLOBAL-CFP-5x7,GLOBAL-CFP,5x7,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 13x18cm/5x7""",36.00,15.10,51.10,au6,Australia Post,1535x2125
GLOBAL-CFP-A5,GLOBAL-CFP,A5,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 14.8x21cm / 5.8x8.3"" (A5)",36.00,15.10,51.10,au6,Australia Post,1748x2480
GLOBAL-CFP-8x10,GLOBAL-CFP,8x10,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 20x25cm/8x10""",42.00,15.10,57.10,au6,Australia Post,2400x3000
GLOBAL-CFP-8x8,GLOBAL-CFP,8x8,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 20x20cm/8x8""",42.00,15.10,57.10,au6,Australia Post,2400x2400
GLOBAL-CFP-A4,GLOBAL-CFP,A4,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 21x29.7cm / 8.3x11.7"" (A4)",42.00,15.10,57.10,au6,Australia Post,2490x3510
GLOBAL-CFP-12x12,GLOBAL-CFP,12x12,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 30x30cm/12x12""",48.00,15.10,63.10,au6,Australia Post,3600x3600
GLOBAL-CFP-11x14,GLOBAL-CFP,11x14,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 28x35cm/11x14""",50.00,15.10,65.10,au6,Australia Post,3307x4192
GLOBAL-CFP-12x16,GLOBAL-CFP,12x16,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 30x40cm/12x16""",60.00,15.10,75.10,au6,Australia Post,3614x4795
GLOBAL-CFP-14x14,GLOBAL-CFP,14x14,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 36x36cm/14x14""",60.00,15.10,75.10,au6,Australia Post,4251x4251
GLOBAL-CFP-A3,GLOBAL-CFP,A3,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 29.7x42cm / 11.7x16.5"" (A3)",60.00,15.10,75.10,au6,Australia Post,3507x4960
GLOBAL-CFP-12x18,GLOBAL-CFP,12x18,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 30x45cm/12x18""",62.00,15.10,77.10,au6,Australia Post,3600x5400
GLOBAL-CFP-16x16,GLOBAL-CFP,16x16,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 40x40cm/16x16""",65.00,15.10,80.10,au6,Australia Post,4800x4800
GLOBAL-CFP-16x20,GLOBAL-CFP,16x20,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 40x50cm/16x20""",75.00,15.10,90.10,au6,Australia Post,4800x6000
GLOBAL-CFP-16x24,GLOBAL-CFP,16x24,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 40x60cm/16x24""",80.00,15.10,95.10,au6,Australia Post,4800x7200
GLOBAL-CFP-A2,GLOBAL-CFP,A2,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 42x59.4cm/16.5x23.4"" (A2)",80.00,15.10,95.10,au6,Australia Post,4960x7015
GLOBAL-CFP-18x24,GLOBAL-CFP,18x24,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 45x60cm/18x24""",85.00,15.10,100.10,au6,Australia Post,5400x7200
GLOBAL-CFP-20x20,GLOBAL-CFP,20x20,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 50x50cm/20x20""",85.00,15.10,100.10,au6,Australia Post,6000x6000
GLOBAL-CFP-24x24,GLOBAL-CFP,24x24,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 60x60cm/24x24""",100.00,15.10,115.10,au6,Australia Post,7200x7200
GLOBAL-CFP-20x28,GLOBAL-CFP,20x28,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 50x70cm/20x28""",95.00,21.55,116.55,au6,Australia Post,6000x8400
GLOBAL-CFP-20x30,GLOBAL-CFP,20x30,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 50x75cm/20x30""",115.00,21.55,136.55,au6,Australia Post,6000x9000
GLOBAL-CFP-24x32,GLOBAL-CFP,24x32,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 60x80cm/24x32""",115.00,21.55,136.55,au6,Australia Post,7200x9600
GLOBAL-CFP-A1,GLOBAL-CFP,A1,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 59.4x84.1cm / 23.4x33.1"" (A1)",115.00,21.55,136.55,au6,Australia Post,7020x9930
GLOBAL-CFP-24x36,GLOBAL-CFP,24x36,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 60x90cm/24x36""",135.00,21.55,156.55,au6,Australia Post,7200x10800
GLOBAL-CFP-30x30,GLOBAL-CFP,30x30,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 75x75cm/30x30""",135.00,21.55,156.55,au6,Australia Post,9000x9000
GLOBAL-CFP-28x40,GLOBAL-CFP,28x40,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 70x100cm/28x40""",160.00,108.00,268.00,au6,Australia Post,8400x12000
GLOBAL-CFP-30x40,GLOBAL-CFP,30x40,"Classic Frame, EMA 200gsm Fine Art Print, No Mount / No Mat, Perspex Glaze, 75x100cm/30x40""",170.00,108.00,278.00,au6,Australia Post,9000x12000
GLOBAL-CFPM-5x7,GLOBAL-CFPM,5x7,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 13x18cm/5x7""",42.00,15.10,57.10,au6,Australia Post,944x1535
GLOBAL-CFPM-A4,GLOBAL-CFPM,A4,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 21x29.7cm/8.3x11.7"" (A4)",42.00,15.10,57.10,au6,Australia Post,1594x2622
GLOBAL-CFPM-A5,GLOBAL-CFPM,A5,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 14.8x21cm/5.8x8.3"" (A5)",42.00,15.10,57.10,au6,Australia Post,1164x1890
GLOBAL-CFPM-8x10,GLOBAL-CFPM,8x10,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 20x25cm/8x10""",44.00,15.10,59.10,au6,Australia Post,1800x2400
GLOBAL-CFPM-8x8,GLOBAL-CFPM,8x8,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 20x20cm/8x8""",44.00,15.10,59.10,au6,Australia Post,1800x1800
GLOBAL-CFPM-11x14,GLOBAL-CFPM,11x14,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",55.00,15.10,70.10,au6,Australia Post,2409x3295
GLOBAL-CFPM-12x12,GLOBAL-CFPM,12x12,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 30x30cm/12x12""",55.00,15.10,70.10,au6,Australia Post,2700x2700
GLOBAL-CFPM-12x16,GLOBAL-CFPM,12x16,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 30x40cm/12x16""",62.00,15.10,77.10,au6,Australia Post,2400x3600
GLOBAL-CFPM-A3,GLOBAL-CFPM,A3,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 29.7x42cm/11.7x16.5"" (A3)",62.00,15.10,77.10,au6,Australia Post,2385x3825
GLOBAL-CFPM-12x18,GLOBAL-CFPM,12x18,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 30x45cm/12x18""",70.00,15.10,85.10,au6,Australia Post,2418x4218
GLOBAL-CFPM-16x16,GLOBAL-CFPM,16x16,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 40x40cm/16x16""",70.00,15.10,85.10,au6,Australia Post,3600x3600
GLOBAL-CFPM-16x20,GLOBAL-CFPM,16x20,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 40x50cm/16x20""",85.00,15.10,100.10,au6,Australia Post,3600x4800
GLOBAL-CFPM-16x24,GLOBAL-CFPM,16x24,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 40x60cm/16x24""",95.00,15.10,110.10,au6,Australia Post,3618x6018
GLOBAL-CFPM-18x24,GLOBAL-CFPM,18x24,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 45x60cm/18x24""",95.00,15.10,110.10,au6,Australia Post,4200x6000
GLOBAL-CFPM-20x20,GLOBAL-CFPM,20x20,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 50x50cm/20x20""",95.00,15.10,110.10,au6,Australia Post,4800x4800
GLOBAL-CFPM-A2,GLOBAL-CFPM,A2,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 42x59.4cm/16.5x23.4"" (A2)",95.00,15.10,110.10,au6,Australia Post,3780x5835
GLOBAL-CFPM-24x24,GLOBAL-CFPM,24x24,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 60x60cm/24x24""",105.00,15.10,120.10,au6,Australia Post,6000x6000
GLOBAL-CFPM-20x28,GLOBAL-CFPM,20x28,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 50x70cm/20x28""",105.00,21.55,126.55,au6,Australia Post,4800x7200
GLOBAL-CFPM-20x30,GLOBAL-CFPM,20x30,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 50x75cm/20x30""",130.00,21.55,151.55,au6,Australia Post,4800x7800
GLOBAL-CFPM-24x32,GLOBAL-CFPM,24x32,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 60x80cm/24x32""",140.00,21.55,161.55,au6,Australia Post,6000x8400
GLOBAL-CFPM-A1,GLOBAL-CFPM,A1,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 59.4x84.1cm/23.4x33.1"" (A1)",140.00,21.55,161.55,au6,Australia Post,5895x8805
GLOBAL-CFPM-24x36,GLOBAL-CFPM,24x36,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 60x90cm/24x36""",150.00,21.55,171.55,au6,Australia Post,6000x9600
GLOBAL-CFPM-30x30,GLOBAL-CFPM,30x30,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 75x75cm/30x30""",160.00,21.55,181.55,au6,Australia Post,7800x7800
GLOBAL-CFPM-28x40,GLOBAL-CFPM,28x40,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 71x101cm/28x40""",170.00,108.00,278.00,au6,Australia Post,7200x10800
GLOBAL-CFPM-30x40,GLOBAL-CFPM,30x40,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 75x100cm/30x40""",180.00,108.00,288.00,au6,Australia Post,7800x10800
