sku,range,size,description,itemAud,shipAud,totalAud,lab,carrier,printAreaPx
GLOBAL-BOXM-12x16,GLOBAL-BOXM,12x16,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 30x40cm/12x16""",76.00,15.10,91.10,au6,Australia Post,2400x3600
GLOBAL-BOXM-A3,GLOBAL-BOXM,A3,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 29x42cm/12x17""",76.00,15.10,91.10,au6,Australia Post,2328x3780
GLOBAL-BOXM-12x18,GLOBAL-BOXM,12x18,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 30x45cm/12x18""",82.00,15.10,97.10,au6,Australia Post,2400x4200
GLOBAL-BOXM-16x20,GLOBAL-BOXM,16x20,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 40x50cm/16x20""",90.00,15.10,105.10,au6,Australia Post,3600x4800
GLOBAL-BOXM-16x24,GLOBAL-BOXM,16x24,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 40x60cm/16x24""",100.00,15.10,115.10,au6,Australia Post,3600x6000
GLOBAL-BOXM-A2,GLOBAL-BOXM,A2,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 42x59cm/17x23""",105.00,15.10,120.10,au6,Australia Post,3780x5835
GLOBAL-BOXM-18x24,GLOBAL-BOXM,18x24,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 45x60cm/18x24""",110.00,15.10,125.10,au6,Australia Post,4200x6000
GLOBAL-BOXM-5x7,GLOBAL-BOXM,5x7,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 13x18cm/5x7""",38.22,90.88,129.10,prodigi_gb3,DHL Express,944x1535
GLOBAL-BOXM-20x20,GLOBAL-BOXM,20x20,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 50x50cm/20x20""",115.00,15.10,130.10,au6,Australia Post,4800x4800
GLOBAL-BOXM-4x6,GLOBAL-BOXM,4x6,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 10x15cm/4x6""",43.95,90.86,134.81,prodigi_gb3,DHL Express,600x1200
GLOBAL-BOXM-24x24,GLOBAL-BOXM,24x24,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 60x60cm/24x24""",125.00,15.10,140.10,au6,Australia Post,6000x6000
GLOBAL-BOXM-20x28,GLOBAL-BOXM,20x28,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 50x70cm/20x28""",122.50,21.55,144.05,au6,Australia Post,4800x7200
GLOBAL-BOXM-10x10,GLOBAL-BOXM,10x10,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 25x25cm/10x10""",57.34,90.86,148.20,prodigi_gb3,DHL Express,2400x2400
GLOBAL-BOXM-11x14,GLOBAL-BOXM,11x14,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 28x35cm/11x14""",63.05,99.07,162.12,prodigi_gb3,DHL Express,2421x3307
GLOBAL-BOXM-A1,GLOBAL-BOXM,A1,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 59x84cm/23x33""",145.00,21.55,166.55,au6,Australia Post,5835x8751
GLOBAL-BOXM-16x16,GLOBAL-BOXM,16x16,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 40x40cm/16x16""",80.21,99.02,179.23,prodigi_gb3,DHL Express,3600x3600
GLOBAL-BOXM-24x36,GLOBAL-BOXM,24x36,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 60x90cm/24x36""",170.00,21.55,191.55,au6,Australia Post,6000x9600
